名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page,File Name,来源城市,AQI,绿化覆盖率 (%),废水处理率 (%),废气处理率 (%),垃圾分类处理率 (%),历史遗迹数量,博物馆数量,文化活动频次,文化设施数量,公共交通覆盖率 (%),线路密度 (km/km²),高速公路里程 (km),机场航班数量,年平均气温 (℃),年降水量 (mm),适宜旅游天数,空气湿度 (%),餐馆数量,特色美食数量,美食活动频次,综合评分
富春江Fuchun River,http://travel.qunar.com/p-oi703065-fuchunjiang,"

地址:
杭州市富阳市富阳镇


电话:
0571-69918266

",富春江是钱塘江建德市梅城镇下至萧山区闻家堰段的别称，长110公里，昔有“小三峡”之称。与长江三峡、桂林漓江齐名，两岸山清水秀，江水清碧见底，周边聚集了很多特色的村落，使这里更加美丽。著名景点有：鹳山“春江第一楼”、新沙岛农家乐、碧云洞、龙门瀑布、三国孙权故里、元代画家黄公望隐居地等。桐庐一段的富春江两岸洞奇石美，山清水秀，古今中外众多文人墨客在此留下了3000余首盛赞桐庐的佳作。宋朝诗人范仲淹赞桐庐为“潇洒桐庐”。目前，桐庐已形成了以山、...富春江是钱塘江建德市梅城镇下至萧山区闻家堰段的别称，长110公里，昔有“小三峡”之称。与长江三峡、桂林漓江齐名，两岸山清水秀，江水清碧见底，周边聚集了很多特色的村落，使这里更加美丽。著名景点有：鹳山“春江第一楼”、新沙岛农家乐、碧云洞、龙门瀑布、三国孙权故里、元代画家黄公望隐居地等。桐庐一段的富春江两岸洞奇石美，山清水秀，古今中外众多文人墨客在此留下了3000余首盛赞桐庐的佳作。宋朝诗人范仲淹赞桐庐为“潇洒桐庐”。目前，桐庐已形成了以山、水、林、洞为特色的五大旅游景区，有瑶琳仙境的溶洞奇观，有“天下独绝”的天目溪漂流，有红灯笼乡村家园的乡村公园风情，有中药鼻祖圣地桐君山，还有国家森林公园大奇山，既可寻胜访古，纵情山水，又可体验乡村风情、田园乐趣。,8:00-17:00,https://img1.qunarzz.com/travel/d3/1706/d2/223417be420e6db5.jpg_480x360x95_16cabd79.jpg,5.0,建议游览时间：1小时 - 3小时,盛夏来富春江避暑最佳。富春江山青水绿，盛夏时分仍能保持凉爽。,"{'【酒店套餐】杭州建德富春芳草地度假酒店1晚+双早+泉水鱼头皇1份+萌宠喂养/霍比特村游玩★多房型可选\n\n': ['¥579起'], '【酒店套餐】杭州桐庐雷迪森度假酒店2天1晚含早+双人下午茶+餐饮代金券+高尔夫体验券+儿童淘天地畅玩\n\n': ['¥509起'], '【酒店套餐】桐庐富春江励骏酒店1晚+早餐+大奇山国家森林公园门票+欢迎点心/巧克力1份★周末不加价\n\n': ['¥499起']}",,2,杭州,杭州,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
云峰湖,http://travel.qunar.com/p-oi722354-yunfenghu,"

地址:
吉林省通化市集安市以东

","云峰湖风景旅游度假区坐落在集安市以东、鸭绿江上游40公里处，有以""界河明珠""之称的云峰发电厂，象征中朝友谊纽带的云峰大坝，和大坝截流形成的海拔218.5米，面积102.5平方公里的人工湖组成。云峰湖两岸高山耸立，怪石嶙峋，古木参天，树种繁多；峡谷深遂，云雾缭绕，使人如入仙境，如置画中。逆流而上，山势雄伟险峻，峰峦秀丽多姿，云雾变幻莫测，飞流叹为观止；泛舟湖上，极目远眺，水色天光，烟波浩淼，如梦如幻。可以弃舟登岸，或采摘野菜山花寻古探幽，或登山俯看水中鱼游动，...云峰湖风景旅游度假区坐落在集安市以东、鸭绿江上游40公里处，有以""界河明珠""之称的云峰发电厂，象征中朝友谊纽带的云峰大坝，和大坝截流形成的海拔218.5米，面积102.5平方公里的人工湖组成。云峰湖两岸高山耸立，怪石嶙峋，古木参天，树种繁多；峡谷深遂，云雾缭绕，使人如入仙境，如置画中。逆流而上，山势雄伟险峻，峰峦秀丽多姿，云雾变幻莫测，飞流叹为观止；泛舟湖上，极目远眺，水色天光，烟波浩淼，如梦如幻。可以弃舟登岸，或采摘野菜山花寻古探幽，或登山俯看水中鱼游动，观空中山鹰翱翔。置身其中如临仙境，岸上鸟鸣，水中鱼跃，蓝天白云，青山碧水构成一幅幅秀丽的湖光山色，使游人大饱眼福，心旷神怡，流连忘返，是游客体会回归大自然真谛的首选去处。对岸即是朝鲜民主主义人民共和国，泛舟湖上，能够看到朝鲜人民劳动生息的身影，体会独特的民族风情，不用出国，却能感受到异国情调，实在是观光旅游、休憩度假的胜地。特别是近几年人民生活水平的提高，旅游热的兴起，令具有真山真水的云峰湖度假区倍受青睐，许多游人以一睹云峰湖为快，而且在游览的同时，获得许多新的知识，感觉不虚此行。除大坝和厂房外，云峰湖度假区还有许多自然景点和人工景点。有铁塔银线，高山飞瀑，寻幽石洞，铁桥春早，云水远眺；有日伪时期的建筑、铁桥，有花园式的街道；如果赶上大坝泄洪，还可以看到玉湖飞瀑的壮丽场面。",全天,https://img1.qunarzz.com/travel/d7/1603/30/d6d0ee39c252d3f7.jpg_480x360x95_664292f9.jpg,5.0,,,{'云峰湖驴迹电子导览（不含门票）服务大小同价\n\n': ['¥7起']},,2,通化,通化,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
嘉鱼官桥田野乡村公园,http://travel.qunar.com/p-oi36141633-jiayuguanqiaotianyexiang,,官桥田野乡村公园占地面积上万亩，包括官桥村、跑马岭村、白湖寺村、朱砂村等多个村落，建有农业科技展示园、乡村民俗文化园、禅茶文化园、农业景观观光园、滨湖湿地度假园等多个主题园区，是集休闲度假、农业示范等于一体的多功能综合性园区。,,,5.0,建议游览时间：3天 - 6天,,内部项目收费,,1,咸宁,咸宁,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
杨莫岭森林公园,http://travel.qunar.com/p-oi709067-yangmolingsenlingongyuan,,杨莫岭森林公园位于山西省朔州市山阴县马营庄乡地处山阴县东南部，东邻应县，西连本县后所乡，北毗本县古城镇，南接忻州市代县。距朔州市50公里，距大同市80公里，距太原市200公里，距首都北京400公里。杨莫岭森林公园地势南高北低，南部为山坡区，地质古老，属恒山剥蚀断块高中山区，太古界变质火山岩沉积岩地层，中、北部为平川区，为典型的温带大陆性季风气候，年平均降水量500毫米，年平均气温8.3℃，地下水源十分丰富，光照充足，无霜期为130天，主要动物有13目，25科，主要植...杨莫岭森林公园位于山西省朔州市山阴县马营庄乡地处山阴县东南部，东邻应县，西连本县后所乡，北毗本县古城镇，南接忻州市代县。距朔州市50公里，距大同市80公里，距太原市200公里，距首都北京400公里。杨莫岭森林公园地势南高北低，南部为山坡区，地质古老，属恒山剥蚀断块高中山区，太古界变质火山岩沉积岩地层，中、北部为平川区，为典型的温带大陆性季风气候，年平均降水量500毫米，年平均气温8.3℃，地下水源十分丰富，光照充足，无霜期为130天，主要动物有13目，25科，主要植物有42科、90属、195种。境内泉水涌现，溪流不断，水中富含多种微量元素，极具开发价值。南部山区的省级生态公园杨莫岭森林公园原生态自然景观富有，山高水长，风景秀丽。,,,5.0,,,,,1,朔州,朔州,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
南山风景名胜区,http://travel.qunar.com/p-oi703149-nanshanfengjingmingsheng,"

地址:
湖南城步南山牧场大坪

",南山风景名胜区位于湖南省城步苗族自治县西南部，总面积199平方公里，其主体部分是南山牧场。南山牧场是中国南方最大的现代化山地牧场，东西48公里，南北63公里，平均海拔1760米，年平均气温11℃；场内气候温和，雨量充沛，在连绵起伏的地表上形成48坪、48溪，自然生态条件好，动植物资源丰实。特别是133平方公里连片草场，构成一幅“横至百余里，环绕数千峰”的雄浑壮阔的绿色海洋图，展示出其无可伦比的南方大草原地壮美风光，享有“南方的呼伦贝尔”、“中国的新西兰”之美誉。南...南山风景名胜区位于湖南省城步苗族自治县西南部，总面积199平方公里，其主体部分是南山牧场。南山牧场是中国南方最大的现代化山地牧场，东西48公里，南北63公里，平均海拔1760米，年平均气温11℃；场内气候温和，雨量充沛，在连绵起伏的地表上形成48坪、48溪，自然生态条件好，动植物资源丰实。特别是133平方公里连片草场，构成一幅“横至百余里，环绕数千峰”的雄浑壮阔的绿色海洋图，展示出其无可伦比的南方大草原地壮美风光，享有“南方的呼伦贝尔”、“中国的新西兰”之美誉。南山风景名胜区自然景观以中国南方高山台地草原风光为主调，集峡谷、峭壁、怪石、原始植被、飞瀑流泉、人工湖泊、奇雾为一体，具有雄浑、壮阔、峻秀、幽野、古朴、神奇的独特个性。南山风景名胜区有紫阳峰、老山界、茅坪湖、蛟龙洞、南山顶等五大景区；有紫阳峰牧区、老山界森林公园、茅坪湖、高山红哨、天然盆景园、蛟龙洞、围山坪一线天等60余处景点，是一个集旅游、疗养、避暑、探险于一体的天然草地公园。俗语“寿比南山”中的“南山”即指此。,8:00至18:00,https://img1.qunarzz.com/travel/d2/1504/ec/2cb4a98f03297b.jpg_480x360x95_c567a801.jpg,5.0,,,40元,,1,邵阳,邵阳,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
长城公园Changchen Park,http://travel.qunar.com/p-oi18718345-zhangchenggongyuan,, 长城公园临近城子河，园内有两座烽火台，还有形似长城的建筑，是个散步休闲的好去处。,,https://img1.qunarzz.com/travel/poi/1803/65/1619bb62e5124237.jpg_480x360x95_82b97e16.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4,北京,北京,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
呼市千岛湖,http://travel.qunar.com/p-oi39336747-hushiqiandaohu,,,,,5.0,,,,,4,呼和浩特,呼和浩特,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
龙瑞塔,http://travel.qunar.com/p-oi707053-longruita,,"龙瑞塔高5层，30米。为六角攒尖顶，楼阁式砖结构，红方砖铺地。底层面积39平方米。第五层窗额镶嵌有""天章""石匾，门额石匾阳刻楷书：""云汉为章""，左右对联：""默宰灵枢宣雅化，宏开景运翼斯文""，用楷书阴刻而成。1990年被公布为中山市文物保护单位。现该塔保存完好。",,,5.0,,,,,3,中山,中山,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
古镇石板街,http://travel.qunar.com/p-oi7475952-guzhenshibanjie,"

地址:
贺州市昭平县黄姚古镇内

",,全天,https://img1.qunarzz.com/travel/d1/1504/bb/f13c57c3a516be.jpg_480x360x95_71a3462a.jpg,5.0,建议游览时间：1小时,四季皆宜,包含在黄姚古镇景区门票内,,2,贺州,贺州,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
济源牡丹园,http://travel.qunar.com/p-oi38337612-jiyuanmudanyuan,,济源牡丹园种植有牡丹、网红草等，园内有水车、小火车等。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3,济源,济源,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
挞水岩瀑布,http://travel.qunar.com/p-oi39160304-tashuiyanpubu,,,,,5.0,,,,,7,贵阳,贵阳,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
茉莉轩Molixuan,http://travel.qunar.com/p-oi10001594-molixuan,,位于临城镇西北4公里处，在现在的临高师范学校内。茉莉轩原为宋代临高县令谢渥所建的学馆。谢渥在庭院内种了许多茉莉花，故名“茉莉轩”。宋绍兴十八年（公元1146年），宰相胡铨被贬到海南来，他经过临高时，谢渥迎接他到茉莉轩中住了一段时间。胡铨在此写下了一首《题茉莉轩》的诗，从此茉莉轩名声越来越大。据临高县志记载，当时临高县博顿村有个叫戴定实的人曾得到胡铨的指点，因而发奋读书，后来考中举人并在吏部任职。历来人们都把茉莉轩看作是中原文化在临高传播的一个中心。,,https://img1.qunarzz.com/travel/poi/1712/20/462eef023ae56b37.jpg_480x360x95_ff001c2a.jpg,5.0,建议游览时间：2小时,,具体收费情况以现场公示为主,,2,临高,临高,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
奇峰梨花村Qifeng Pear Blossom Village,http://travel.qunar.com/p-oi35216631-qifenglihuacun,, 奇峰梨花村位于云南鹤庆，每年初春，千树万树的梨花开满了奇峰的乡村沃野、田间地头，十分壮观。,,,5.0,,,具体收费情况以现场公示为主,,3,大理,大理,-2.5903329603489094,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.856737535120937
希拉穆仁草原拉托维亚旅游接待点,http://travel.qunar.com/p-oi32309081-xilamurencaoyuanlatuo,"

地址:
包头市达尔罕茂明安联合旗希拉穆仁草原召河召四队

",,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/888810de17f3ca8e54ecbc7f9d874f24.jpg_480x360x95_64dc5a29.jpg,5.0,建议游览时间：12小时 - 3天,,参观免费，娱乐项目单独收费，详情以现场公示为准。,,6,包头,包头,0.6776665690888339,2.6036164945448745,1.8009731095420327,0.23645949986220727,0.9582334988844532,1.461145538576237,1.5457363566555917,1.5732889749198629,1.6115666828808846,0.9326427851384078,1.6623766552616375,1.2995042211810703,0.9469032697759914,-1.820201489963451,-1.9173477961507224,1.202352937850347,2.244151131062249,0.8700337221544636,1.8704908369277482,1.2203116814334631,0.8274740203444975
天池明珠Tianchi Pearl,http://travel.qunar.com/p-oi717356-tianchimingzhu,"

地址:
太白山

",,全天,https://img1.qunarzz.com/travel/poi/201407/09/685df42d3a2b408eddb12cfb.jpg_480x360x95_478b6d19.jpg,5.0,,四季皆宜，夏秋最佳。,无,游客登山游玩，需按照已开发的旅游登山路线行进，不可贸然离开主路线去探险。这样一是防止在山中迷路失踪；二是深山中的有不少野生动物，包括大型野兽，游客若擅自进入深山可能会遇到危险。,2,宝鸡,宝鸡,0.21080949345487066,1.483361242357962,0.2787747073738294,-0.34455527122777785,0.07921396924111546,0.9437661610464115,0.9476111522804247,1.119062027901455,0.9191700064724446,-0.012826128675775365,0.775775772455431,0.8721338080966651,0.6135002761189382,-0.5936602313005184,0.4023508270937623,0.1418159875413238,1.5860198530695688,0.5203940020363147,1.1901685194154357,0.0183439837581266,0.5513755234456784
赛里木湖点将台,http://travel.qunar.com/p-oi38988458-sailimuhudianjiangtai,,,,,5.0,,,,,1,博尔塔拉,博尔塔拉,-0.4116666073904138,1.483361242357962,1.0398739084579312,0.8174742709521924,0.9582334988844532,0.9437661610464115,0.9476111522804247,1.119062027901455,0.9191700064724446,0.30233017592895234,0.775775772455431,0.8721338080966651,0.6135002761189382,-1.820201489963451,-1.9173477961507224,1.202352937850347,2.244151131062249,0.8700337221544636,1.8704908369277482,0.0183439837581266,0.5202314709950547
七家子水库,http://travel.qunar.com/p-oi38341031-qijiazishuiku,,,,,5.0,,,具体收费情况以现场公示为主,,1,阜新,阜新,-0.4116666073904138,1.483361242357962,1.0398739084579312,0.8174742709521924,0.9582334988844532,0.9437661610464115,0.9476111522804247,1.119062027901455,0.9191700064724446,0.30233017592895234,0.775775772455431,0.8721338080966651,0.6135002761189382,-1.820201489963451,-1.9173477961507224,1.202352937850347,2.244151131062249,0.8700337221544636,1.8704908369277482,0.0183439837581266,0.5202314709950547
嫩江旅游度假村,http://travel.qunar.com/p-oi722612-nenjianglu:youdujiacun,"

地址:
嫩江旅游度假村位于大安市嫩江右岸，距市中心3公里

",嫩江旅游渡假村位于大安市嫩江右岸，距市中心3公里，占地面积5.28公顷，建筑面积达5100平方米，水路、铁路便通，是一处良好的旅游胜地。　这里一年四季分明，景色迷人，碧绿的江水上叶叶白帆轻轻飘荡，豪华的游船长鸣远航，江岸上绿草成荫，草原辽阔，百鸟欢唱。在渡假村南瑞，高山脚下，设有东北最大的国防基地，在这里游人可以体验到现代骑士的风彩。位于嫩江右岸边有长达10公里的沙滩浴场，服务设施齐全，可供游人游泳、划船、摄影、娱乐等。 在渡假村中心有一座独具特色的五层...嫩江旅游渡假村位于大安市嫩江右岸，距市中心3公里，占地面积5.28公顷，建筑面积达5100平方米，水路、铁路便通，是一处良好的旅游胜地。　这里一年四季分明，景色迷人，碧绿的江水上叶叶白帆轻轻飘荡，豪华的游船长鸣远航，江岸上绿草成荫，草原辽阔，百鸟欢唱。在渡假村南瑞，高山脚下，设有东北最大的国防基地，在这里游人可以体验到现代骑士的风彩。位于嫩江右岸边有长达10公里的沙滩浴场，服务设施齐全，可供游人游泳、划船、摄影、娱乐等。 在渡假村中心有一座独具特色的五层望江楼，内设有餐厅，快餐厅、水资源展览厅、歌舞厅。楼内装潢典雅，舒适静溢，菜肴品种齐全，风味独特，舞厅内配有高级音响，音乐优美、轻歌漫舞、令游人留连忘返。　在别具特色的望江楼中层，珍藏着数百种鱼类标本，游人到这里可一览古今，真正领略大安“渔米之乡”的含义。渡假村内还建有欧式、罗式、中式现代化别墅三座，建筑面积2000平方米，高中档客房一应俱全，适宜各阶层游客到这里渡假、开会、食宿。此外，嫩江旅游渡假村还修建了江畔公园，天然沙浴场，人工游泳池，江畔木屋，别墅群等景观，景点。　为了满足广大游客的需求，渡假村先后开通了大安港至月亮泡水库一日游、大安港至衍福寺一日游，游人即可浏览两岸风光，又可在船上就餐，娱乐。,全天开放,,5.0,,,大门不收门票，但景区内各景点均要收费,,1,白城,白城,1.1445236447227973,-0.7571492620158627,1.0398739084579312,-0.34455527122777785,0.5187237340627843,0.9437661610464115,0.9476111522804247,-0.24361881315376843,0.4575722222001513,-0.012826128675775365,-0.11082511035077641,0.017392981927854607,0.9469032697759914,1.2461516566938806,1.5622001387160045,1.202352937850347,-0.05930834191213161,0.5203940020363147,-0.1704761156091899,0.0183439837581266,0.5124912768594279
寿宁寺Shouning Temple,http://travel.qunar.com/p-oi713711-shouningsi,"

地址:
忻州市五台县五台山风景区内

",,9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/3dd4f7e31211e39585718913df79068b.jpg_480x360x95_123a85ce.jpg,5.0,建议游览时间：1小时 - 2小时,,,,4,忻州,忻州,3.1675709724699717,1.483361242357962,-0.4823244937102722,-0.34455527122777785,0.07921396924111546,0.16769709475167313,0.3494859479052577,0.4377216073738433,-0.004025562072141997,-0.012826128675775365,0.3324753310523273,0.44476339501225987,0.11339578563335848,0.6328810273624143,1.1755837015085906,0.1418159875413238,0.5988229360805486,0.17075428191816572,0.5098462019031228,0.6193278325957948,0.43863393206365453
珠海和田度假村,http://travel.qunar.com/p-oi713266-zhuhaihetiandujiacun,"

地址:
珠海市香洲区前山兰埔圆明新园西侧

","以养生保健为主题的休闲度假酒店,坐落在珠海风景秀丽的大石林山下，各室外泡浴池依山势而筑，风格质朴，其整体风格充满盛唐宫廷韵味，吸收温和细腻的日本温泉沐浴文化，并融入现代SPA水疗与中医养生概念，是完美的度假胜地之选",全天开放,https://img1.qunarzz.com/travel/poi/1808/fe/7ac7d1fd78f56737.jpg_480x360x95_c65b305e.jpg,5.0,,,包含在酒店门票内,,5,珠海,珠海,2.8563329220473292,1.483361242357962,-0.4823244937102722,-0.34455527122777785,0.07921396924111546,0.16769709475167313,0.3494859479052577,0.4377216073738433,-0.004025562072141997,-0.012826128675775365,0.3324753310523273,0.44476339501225987,0.11339578563335848,0.6328810273624143,1.1755837015085906,0.1418159875413238,0.5988229360805486,0.17075428191816572,0.5098462019031228,0.6193278325957948,0.43661088473590737
东下冯遗址Dongxiafeng Relic Site,http://travel.qunar.com/p-oi702957-dongxiafengyizhi,,东下冯遗址位于东下冯村东北的青龙河南、北两岸台地上，面积约25万平方米，是夏商时期二里头文化东下冯类型的典型遗址。这里发现了灰坑、房屋、墓葬、水井、沟槽、陶窑等遗迹。出土物包括陶器、骨器、蚌器、铜器、石器、卜骨等。遗址共分为六期，其中一至四期为二里头时期，大致年代在夏纪年内；五至六期，相当於商代二里冈时期。有商代古城址和排列有序的圆形房址，遗物以陶器为主。除此之外还有青铜镞、凿和石范，表明当时已经进入青铜时代。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/6c753f4ac152fb9967986e75cf0279c5.jpg_480x360x95_cbed8de9.jpg,5.0,建议游览时间：1小时,,,,5,运城,运城,2.233856821202045,1.483361242357962,-0.4823244937102722,-0.34455527122777785,0.07921396924111546,0.16769709475167313,0.3494859479052577,0.4377216073738433,-0.004025562072141997,-0.012826128675775365,0.3324753310523273,0.44476339501225987,0.11339578563335848,0.6328810273624143,1.1755837015085906,0.1418159875413238,0.5988229360805486,0.17075428191816572,0.5098462019031228,0.6193278325957948,0.432564790080413
乐亭海滨旅游区,http://travel.qunar.com/p-oi708599-letinghaibinlu:youqu,,位于乐亭县境内，在秦、唐、沧环渤海开发区中部，东与昌黎黄金海岸、南戴河景区为邻，距天津220公里，北京280公里。景区总面积88平方公里，包括石臼坨、腰坨、打网岗等岛屿和碧海屿场、金银滩浴场、姜各庄森林公园及唐港、李大钊故居等景点。景区内岛幽海清，树茂草丰，花香鸟语，是集生态旅游、自然野趣和海水浴、日光浴、沙浴、海边垂钓等多种娱乐内容为一体的正在建设的休闲度假旅游区。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e73288b06b2efb4ddd5612474d5c13eb.jpg_480x360x95_3ba36cb7.jpg,5.0,,,,,2,唐山,唐山,1.9226187707794027,1.483361242357962,-0.4823244937102722,-0.34455527122777785,0.07921396924111546,0.16769709475167313,0.3494859479052577,0.4377216073738433,-0.004025562072141997,-0.012826128675775365,0.3324753310523273,0.44476339501225987,0.11339578563335848,0.6328810273624143,1.1755837015085906,0.1418159875413238,0.5988229360805486,0.17075428191816572,0.5098462019031228,0.6193278325957948,0.4305417427526658
幸福古村,http://travel.qunar.com/p-oi37806117-xingfugucun,,,,,5.0,,,具体收费情况以现场公示为主,,1,眉山,眉山,-0.5672856326017349,0.36310599017104966,0.2787747073738294,0.23645949986220727,0.07921396924111546,0.16769709475167313,0.3494859479052577,0.4377216073738433,-0.004025562072141997,-0.012826128675775365,0.3324753310523273,0.44476339501225987,0.11339578563335848,0.6328810273624143,1.1755837015085906,0.1418159875413238,0.5988229360805486,0.17075428191816572,0.5098462019031228,0.6193278325957948,0.41666469481855506
东北神学院,http://travel.qunar.com/p-oi36216001-dongbeishenxueyuan,,东北神学院位于华夏民俗村内，这里景色优美，一到秋天，造型奇特的“古木”枝藤蔓绕，远处的教堂，悬空的“树屋”，眼前的红枫、黄叶和绿树，这些都让人仿佛置身于仙境中。,,https://flight-feed.qunarzz.com/as3/450/image/2022/12/055dfa7a-776f-4192-8352-a711129cdb0c.jpeg_480x360_1403c35e.jpeg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1,沈阳,沈阳,-0.8785236830243771,1.483361242357962,-0.4823244937102722,-0.34455527122777785,0.07921396924111546,0.16769709475167313,0.3494859479052577,0.4377216073738433,-0.004025562072141997,-0.012826128675775365,0.3324753310523273,0.44476339501225987,0.11339578563335848,0.6328810273624143,1.1755837015085906,0.1418159875413238,0.5988229360805486,0.17075428191816572,0.5098462019031228,0.6193278325957948,0.41233431680294125
